code, nom,latitude,longitude,country
01,"Guadeloupe",16.25,-61.583300000000001,FR
03,"Guyane",5.3666669999999996,-59,FR
04,"La Réunion",-21.100000000000001,55.600000000000001,FR
02,"Martinique",14.666700000000001,-61,FR
06,"Mayotte",-12.833299999999999,45.166699999999999,FR
72,"Aquitaine",44.354788079057208,-0.22774523605410613,FR
83,"Auvergne",45.656073610514973,3.1770341322820306,FR
25,"Basse-Normandie",48.929447252028183,-0.52204161237385494,FR
26,"Bourgogne",47.247714676649466,4.1494452366454002,FR
53,"Bretagne",48.177731075090158,-2.8405377673741281,FR
24,"Centre",47.484759853407809,1.6843856424395458,FR
21,"Champagne-Ardenne",48.736281282124651,4.5412233847594754,FR
73,"Midi-Pyrénées",43.768545511666147,1.4874197055924376,FR
31,"Nord-Pas-de-Calais",50.472517333292622,2.7153693884720806,FR
52,"Pays de la Loire",47.478113470457025,-0.81555493863970885,FR
22,"Picardie",49.642398383322437,2.8082657164326337,FR
54,"Poitou-Charentes",46.162804341148416,-0.08143783270890452,FR
93,"Provence-Alpes-Côte d'Azur",43.958539746119797,6.0608179921489489,FR
82,"Rhône-Alpes",45.431518150211495,5.3344936699312688,FR
43,"Franche-Comté",47.207856645682455,6.0880304121813014,FR
11,"Île-de-France",48.709229140221602,2.5034726523864865,FR
91,"Languedoc-Roussillon",43.593522291172754,3.225602005187159,FR
74,"Limousin",45.774079287572036,1.7141698798652198,FR
41,"Lorraine",48.762231354485394,6.141822044936367,FR
42,"Alsace",48.330129332905379,7.4351222906012646,FR
94,"Corse",42.151484951791836,9.1058504999382848,FR
23,"Haute-Normandie",49.391900668620856,1.0121625819105837,FR
00,"Tous",0,0,00